         210351 function calls (209058 primitive calls) in 557.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    0.005    0.000    0.084    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:163(_get_param_names)
      257    0.005    0.000    0.005    0.000 {built-in method numpy.asanyarray}
      417    0.005    0.000    0.375    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:69(_wrapreduction)
      300    0.005    0.000    0.013    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:213(get_nested_backend)
        4    0.005    0.001    0.005    0.001 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
       11    0.005    0.000    0.008    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\lib\arraysetops.py:320(_unique1d)
      306    0.004    0.000    0.007    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1340(<listcomp>)
 1200/100    0.004    0.000    0.051    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:32(clone)
      300    0.004    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:350(__call__)
      600    0.004    0.000    0.009    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\functools.py:35(update_wrapper)
      500    0.004    0.000    0.065    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2244(_signature_from_callable)
        3    0.004    0.001    0.005    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\logger.py:39(short_format_time)
        1    0.003    0.003    0.015    0.015 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\metrics\_regression.py:141(mean_absolute_error)
     6500    0.003    0.000    0.005    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2847(<genexpr>)
        4    0.003    0.001    0.003    0.001 {built-in method builtins.round}
        2    0.003    0.002    0.012    0.006 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_base.py:206(_partition_estimators)
      300    0.003    0.000  556.561    1.855 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:761(_dispatch)
      600    0.003    0.000    0.007    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\_config.py:133(config_context)
       22    0.003    0.000    0.003    0.000 {pandas._libs.algos.ensure_platform_int}
    17500    0.003    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\inspect.py:2565(name)
    14210    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
      122    0.003    0.000    0.003    0.000 {method 'remove' of 'list' objects}
      306    0.003    0.000    0.012    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:1276(check_is_fitted)
     6000    0.003    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\enum.py:670(__new__)
        2    0.003    0.001    0.240    0.120 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:713(_slice_take_blocks_ax0)
      305    0.003    0.000    0.007    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:76(get_active_backend)
      203    0.003    0.000    0.003    0.000 {built-in method nt.urandom}
       88    0.003    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\internals\managers.py:1848(internal_values)
      107    0.003    0.000    0.003    0.000 {pandas._libs.lib.is_list_like}
      300    0.003    0.000  556.541    1.855 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:258(__call__)
      303    0.003    0.000    0.009    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:121(__exit__)
